Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeID,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,CareerScore
51,No,Travel_Rarely,Sales,6,2,Life Sciences,1,1,Female,1,Healthcare Representative,Married,131160,1.0,11,8,0,1.0,6,1,0,0,High,Excelent,High,Very High,Medium,0.29063651922064243
31,Yes,Travel_Frequently,Research & Development,10,1,Life Sciences,1,2,Female,1,Research Scientist,Single,41890,0.0,23,8,1,6.0,3,5,1,4,Medium,Outstanding,High,Medium,Very High,0.3293641390205372
32,No,Travel_Frequently,Research & Development,17,4,Other,1,3,Male,4,Sales Executive,Married,193280,1.0,15,8,3,5.0,2,5,0,3,High,Excelent,Medium,Medium,Low,0.5849164033701948
38,No,Non-Travel,Research & Development,2,5,Life Sciences,1,4,Male,3,Human Resources,Married,83210,3.0,11,8,3,13.0,5,8,7,5,Medium,Excelent,Very High,Very High,High,0.3650111901000526
32,No,Travel_Rarely,Research & Development,10,1,Medical,1,5,Male,1,Sales Executive,Single,23420,4.0,12,8,2,9.0,2,6,0,4,High,Excelent,Very High,Low,High,0.12379870984728805
46,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,6,Female,4,Research Director,Married,40710,3.0,13,8,0,28.0,5,7,7,7,High,Excelent,High,Medium,Medium,0.46531068983675616
28,Yes,Travel_Rarely,Research & Development,11,2,Medical,1,7,Male,2,Sales Executive,Single,58130,2.0,20,8,1,5.0,2,0,0,0,High,Outstanding,Low,High,Low,0.24032714586624537
29,No,Travel_Rarely,Research & Development,18,3,Life Sciences,1,8,Male,2,Sales Executive,Married,31430,2.0,22,8,3,10.0,2,0,0,0,High,Outstanding,Low,Medium,High,0.23642706687730386
31,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,9,Male,3,Laboratory Technician,Married,20440,0.0,21,8,0,10.0,2,9,7,8,High,Outstanding,Medium,Very High,High,0.4511255924170616
25,No,Non-Travel,Research & Development,7,4,Medical,1,10,Female,4,Laboratory Technician,Divorced,134640,1.0,13,8,1,6.0,2,6,1,5,High,Excelent,Medium,Low,High,0.5139678778304371
45,No,Travel_Rarely,Research & Development,17,2,Medical,1,11,Male,2,Laboratory Technician,Married,79910,0.0,13,8,2,21.0,2,20,4,10,Medium,Excelent,High,Very High,High,0.5356667983149026
36,No,Travel_Rarely,Research & Development,28,1,Life Sciences,1,12,Male,1,Laboratory Technician,Married,33770,0.0,12,8,2,16.0,2,15,10,11,High,Excelent,no puntuado,Very High,High,0.3811743022643497
55,No,Travel_Rarely,Research & Development,14,4,Life Sciences,1,13,Female,1,Sales Executive,Single,55380,0.0,17,8,0,37.0,2,36,4,13,High,Excelent,Very High,Low,High,0.5408734860452871
47,Yes,Non-Travel,Research & Development,1,1,Medical,1,14,Male,1,Research Scientist,Married,57620,1.0,11,8,2,10.0,4,10,9,9,Medium,Excelent,Low,Medium,Medium,0.2500724065297525
28,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,15,Male,1,Manufacturing Director,Married,25920,1.0,14,8,0,5.0,2,5,0,4,High,Excelent,Very High,Very High,Medium,0.177089915745129
37,No,Travel_Rarely,Research & Development,1,3,Life Sciences,1,16,Male,2,Healthcare Representative,Married,53460,4.0,11,8,0,7.0,2,5,0,1,High,Excelent,High,Very High,Very High,0.21334583991574513
21,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,17,Male,1,Laboratory Technician,Single,42130,1.0,12,8,3,3.0,3,3,1,0,Medium,Excelent,Very High,High,Very High,0.18593009478672984
37,No,Non-Travel,Research & Development,1,3,Medical,1,18,Male,2,Sales Executive,Divorced,41270,2.0,13,8,1,15.0,2,5,0,2,High,Excelent,Low,Very High,High,0.2806312532912059
35,No,Travel_Rarely,Sales,7,4,Life Sciences,1,19,Male,1,Sales Representative,Divorced,24380,7.0,16,8,0,10.0,5,7,6,2,Medium,Excelent,Medium,Medium,Medium,0.11256253291205898
38,No,Travel_Rarely,Research & Development,8,3,Life Sciences,1,20,Female,1,Manager,Divorced,68700,1.0,11,8,1,8.0,5,8,7,7,High,Excelent,Low,Low,High,0.2521590310689837
26,No,Travel_Frequently,Research & Development,1,4,Other,1,21,Male,2,Laboratory Technician,Divorced,104470,1.0,18,8,0,6.0,3,6,1,4,High,Excelent,High,Medium,Low,0.34924960505529223
50,No,Travel_Rarely,Sales,8,4,Life Sciences,1,22,Male,1,Research Scientist,Divorced,96670,3.0,23,8,0,28.0,2,10,1,6,Medium,Outstanding,Low,Medium,Medium,0.35148104265402846
53,No,Travel_Rarely,Research & Development,11,4,Life Sciences,1,23,Female,2,Research Scientist,Married,21480,3.0,11,8,0,21.0,2,5,1,3,High,Excelent,High,High,Medium,0.2712447340705635
42,No,Travel_Rarely,Research & Development,4,4,Life Sciences,1,24,Male,1,Manufacturing Director,Married,89260,1.0,14,8,0,11.0,4,20,11,6,Low,Excelent,Medium,High,High,0.29797590837282784
